i,hit_or_miss
1,Hit
2,Hit
3,Hit
4,Hit
5,Hit
6,Hit
7,Hit
8,Miss
9,Miss
10,Miss
11,Hit
12,Miss
13,Hit
14,Hit
15,Hit
16,Hit
17,Miss
18,Hit
19,Hit
20,Hit
21,Hit
22,Hit
23,Hit
24,Hit
25,Hit
26,Miss
27,Hit
28,Hit
29,Hit
30,Hit
31,Hit
32,Hit
33,Hit
34,Miss
35,Miss
36,Miss
37,Miss
38,Miss
39,Hit
40,Hit
41,Hit
42,Miss
43,Miss
44,Hit
45,Miss
46,Hit
47,Hit
48,Hit
49,Hit
50,Hit
51,Hit
52,Miss
53,Miss
54,Miss
55,Miss
56,Miss
57,Hit
58,Hit
59,Hit
60,Hit
61,Miss
62,Hit
63,Hit
64,Hit
65,Hit
66,Hit
67,Miss
68,Hit
69,Miss
70,Hit
71,Hit
72,Hit
73,Miss
74,Hit
75,Hit
76,Hit
77,Hit
78,Hit
79,Miss
80,Miss
81,Hit
82,Hit
83,Hit
84,Miss
85,Hit
